"","date","median","lower_50","upper_50"
"1",2019-09-01,1.87773145108203,1.77695097962435,1.93181798726518
"2",2019-09-02,1.87773145108203,1.77695097962435,1.93181798726518
"3",2019-09-03,1.87773145108203,1.77695097962435,1.93181798726518
"4",2019-09-04,1.87773145108203,1.77695097962435,1.93181798726518
"5",2019-09-05,1.87773145108203,1.77695097962435,1.93181798726518
"6",2019-09-06,1.87773145108203,1.77695097962435,1.93181798726518
"7",2019-09-07,1.87773145108203,1.77695097962435,1.93181798726518
"8",2019-09-08,1.87773145108203,1.77695097962435,1.93181798726518
"9",2019-09-09,1.87773145108203,1.77695097962435,1.93181798726518
"10",2019-09-10,1.87773145108203,1.77695097962435,1.93181798726518
"11",2019-09-11,1.87773145108203,1.77695097962435,1.93181798726518
"12",2019-09-12,1.87773145108203,1.77695097962435,1.93181798726518
"13",2019-09-13,1.87773145108203,1.77695097962435,1.93181798726518
"14",2019-09-14,1.87773145108203,1.77695097962435,1.93181798726518
"15",2019-09-15,1.87773145108203,1.77695097962435,1.93181798726518
"16",2019-09-16,1.87773145108203,1.77695097962435,1.93181798726518
"17",2019-09-17,1.87773145108203,1.77695097962435,1.93181798726518
"18",2019-09-18,1.87773145108203,1.77695097962435,1.93181798726518
"19",2019-09-19,1.87773145108203,1.77695097962435,1.93181798726518
"20",2019-09-20,1.87773145108203,1.77695097962435,1.93181798726518
"21",2019-09-21,1.87773145108203,1.77695097962435,1.93181798726518
"22",2019-09-22,1.87773145108203,1.77695097962435,1.93181798726518
"23",2019-09-23,1.87773145108203,1.77695097962435,1.93181798726518
"24",2019-09-24,1.87773145108203,1.77695097962435,1.93181798726518
"25",2019-09-25,1.87773145108203,1.77695097962435,1.93181798726518
"26",2019-09-26,1.87773145108203,1.77695097962435,1.93181798726518
"27",2019-09-27,1.87773145108203,1.77695097962435,1.93181798726518
"28",2019-09-28,1.87773145108203,1.77695097962435,1.93181798726518
"29",2019-09-29,1.87773145108203,1.77695097962435,1.93181798726518
"30",2019-09-30,1.87773145108203,1.77695097962435,1.93181798726518
"31",2019-10-01,1.87773145108203,1.77695097962435,1.93181798726518
"32",2019-10-02,1.87773145108203,1.77695097962435,1.93181798726518
"33",2019-10-03,1.87773145108203,1.77695097962435,1.93181798726518
"34",2019-10-04,1.87773145108203,1.77695097962435,1.93181798726518
"35",2019-10-05,1.87773145108203,1.77695097962435,1.93181798726518
"36",2019-10-06,1.87773145108203,1.77695097962435,1.93181798726518
"37",2019-10-07,1.87773145108203,1.77695097962435,1.93181798726518
"38",2019-10-08,1.87773145108203,1.77695097962435,1.93181798726518
"39",2019-10-09,1.87773145108203,1.77695097962435,1.93181798726518
"40",2019-10-10,1.87773145108203,1.77695097962435,1.93181798726518
"41",2019-10-11,1.87773145108203,1.77695097962435,1.93181798726518
"42",2019-10-12,1.87773145108203,1.77695097962435,1.93181798726518
"43",2019-10-13,1.87773145108203,1.77695097962435,1.93181798726518
"44",2019-10-14,1.87773145108203,1.77695097962435,1.93181798726518
"45",2019-10-15,1.87773145108203,1.77695097962435,1.93181798726518
"46",2019-10-16,1.87773145108203,1.77695097962435,1.93181798726518
"47",2019-10-17,1.87773145108203,1.77695097962435,1.93181798726518
"48",2019-10-18,1.87773145108203,1.77695097962435,1.93181798726518
"49",2019-10-19,1.87773145108203,1.77695097962435,1.93181798726518
"50",2019-10-20,1.87773145108203,1.77695097962435,1.93181798726518
"51",2019-10-21,1.87773145108203,1.77695097962435,1.93181798726518
"52",2019-10-22,1.87773145108203,1.77695097962435,1.93181798726518
"53",2019-10-23,1.87773145108203,1.77695097962435,1.93181798726518
"54",2019-10-24,1.87773145108203,1.77695097962435,1.93181798726518
"55",2019-10-25,1.87773145108203,1.77695097962435,1.93181798726518
"56",2019-10-26,1.87773145108203,1.77695097962435,1.93181798726518
"57",2019-10-27,1.87773145108203,1.77695097962435,1.93181798726518
"58",2019-10-28,1.87773145108203,1.77695097962435,1.93181798726518
"59",2019-10-29,1.87773145108203,1.77695097962435,1.93181798726518
"60",2019-10-30,1.87773145108203,1.77695097962435,1.93181798726518
"61",2019-10-31,1.87773145108203,1.77695097962435,1.93181798726518
"62",2019-11-01,1.87773145108203,1.77695097962435,1.93181798726518
"63",2019-11-02,1.87773145108203,1.77695097962435,1.93181798726518
"64",2019-11-03,1.87773145108203,1.77695097962435,1.93181798726518
"65",2019-11-04,1.87773145108203,1.77695097962435,1.93181798726518
"66",2019-11-05,1.87773145108203,1.77695097962435,1.93181798726518
"67",2019-11-06,1.87773145108203,1.77695097962435,1.93181798726518
"68",2019-11-07,1.87773145108203,1.77695097962435,1.93181798726518
"69",2019-11-08,1.87773145108203,1.77695097962435,1.93181798726518
"70",2019-11-09,1.87773145108203,1.77695097962435,1.93181798726518
"71",2019-11-10,1.87773145108203,1.77695097962435,1.93181798726518
"72",2019-11-11,1.87773145108203,1.77695097962435,1.93181798726518
"73",2019-11-12,1.87773145108203,1.77695097962435,1.93181798726518
"74",2019-11-13,1.87773145108203,1.77695097962435,1.93181798726518
"75",2019-11-14,1.87773145108203,1.77695097962435,1.93181798726518
"76",2019-11-15,1.87773145108203,1.77695097962435,1.93181798726518
"77",2019-11-16,1.87773145108203,1.77695097962435,1.93181798726518
"78",2019-11-17,1.87773145108203,1.77695097962435,1.93181798726518
"79",2019-11-18,1.87773145108203,1.77695097962435,1.93181798726518
"80",2019-11-19,1.87773145108203,1.77695097962435,1.93181798726518
"81",2019-11-20,1.87773145108203,1.77695097962435,1.93181798726518
